Name,Category,Level,url,Beginner,Explanation,Animation,Pab,Keyword,Comment
車,アイテム,2,https://www.youtube.com/watch?v=7SCeQETbJDY,0,1,0,0,車 ミラー,ショートカットキーが書かれたテロップが分かりやすくて進めやすいよ！
雲,その他,2,https://www.youtube.com/watch?v=bEa3Bc4thJg,0,1,0,0,雲, 
オールドファッションドーナツ,食べ物,2,https://www.youtube.com/watch?v=k4xYDolHTlA,0,1,0,0,スカルプト ノード パーティクル,スカルプトとパーティクルを学ぶことができます。
リアルなかぼちゃ,食べ物,2,https://www.youtube.com/watch?v=7g8PTvwt_O4,0,1,0,0,かぼちゃ ハロウィン ミラー ソリッド化 ブーリアン,リアルなかぼちゃが作れます。
お化け,キャラクター,2,https://www.youtube.com/watch?v=NRLLlsjoHIo,0,1,1,0,おばけ ハロウィン クロス 物理演算 ウェイトペイント,布の質感の作り方が分かるよ!アニメーションの説明もあります
ベッドルーム,部屋,2,https://www.youtube.com/watch?v=SFckQf9WpIw,0,1,0,0,夜景 ベッド 物理演算, 
サイバーパンクな夜景,建物,2,https://www.youtube.com/watch?v=oc4A796itag,0,1,0,0,ビル,ノードの使い方が分かるよ
人物キャラクター,キャラクター,2,https://www.youtube.com/watch?v=72w5Il1HCGk,0,1,0,0,人 スキン ミラー ソリッド化 ,テロップ見やすいよ!スキンの使い方がわかるよ
スニーカー,アイテム,2,https://www.youtube.com/watch?v=aTMmS0OEWgE,0,1,0,0,スニーカー 靴,難易度1が物足りなくなった君へ
セルルック調のコップ,アイテム,2,https://www.youtube.com/watch?v=6LIThMN_iFo,0,1,0,0,コップ アニメ ノード イラスト, アニメのような色合いにすることができるよ
雪のエフェクト,その他,2,https://www.youtube.com/watch?v=ftNsxp5mMlk,0,1,1,1,雪 パーティクル エフェクト,パーティクルの基礎が学べるよ!!
カメラ操作の基礎,その他,2,https://www.youtube.com/watch?v=lnyRPh8dKJo,0,1,0,0,カメラ,カメラを思い通りに動かせない人へオススメです。レンズのタイプや焦点距離が分かるよ！
日本語看板,その他,2,https://www.youtube.com/watch?v=KAWcye4P5ew,0,1,0,0,看板 テキスト,Blenderで日本語テキストを使う方法が分かるよ!!
iPhone13,アイテム,3,https://www.youtube.com/watch?v=cgBtDJZCZig,0,1,0,0,iPhone スマホ,リアルなマテリアル設定ができるよ！
クリームソーダ,食べ物,3,https://www.youtube.com/watch?v=NAQSa5tjxg4,0,1,0,0,クリームソーダ パーティクル ノード,ソーダの泡をパーティクルで作ってみよう!グラスや氷のマテリアルの設定も参考になるよ
リアルな焚き火,その他,3,https://www.youtube.com/watch?v=lodqjYDXIxk,0,1,1,0,焚き火 物理演算 シェーダー,焚き火のアニメーションを作れるよ🔥
爆発エフェクト,その他,3,https://www.youtube.com/watch?v=N4EChUMckIk,0,1,1,0,ディスプレイス 爆発 エフェクト 流体 物理演算 フォースフィールド ノード,ゲームの爆発エフェクトを自分で作ってみよう💥
髪の毛の作り方,キャラクター,3,https://www.youtube.com/watch?v=CLFhJFCNzAA,0,1,0,0,髪,人の顔が無くても、Blenderの猿や他のキャラクターでもできるよ!
高層ビル群,建物,3,https://www.youtube.com/watch?v=MXz5JL9bqQo,0,1,0,0,ビル 夜景 ノード,ジオメトリノードの使い方が分かるよ
蜘蛛の巣,アイテム,3,https://www.youtube.com/watch?v=Q7SYPZcn03c,0,1,0,0,クモ 蜘蛛 ハロウィン スクリュー ソリッド化 クロス ノード  アノテーション, スクリューモディファイアを使うよ🕷️
ロボット,キャラクター,4,https://www.youtube.com/watch?v=rbNosf_7Ydc,0,1,1,0,ノード ロボット アニメーション ミラー, 
自動販売機,建物,4,https://www.youtube.com/watch?v=BzTN2yTgTj0,0,0,0,0,自販機 英語 イラスト セルルック, セルルック調のコップの応用だよ。
